<LINE 1>
Injongo	i[NPrePre9]-n[BPre9]-jongo[NStem]
lokufikelelisa	la[PossConc5]-u[NPrePre15]-ku[BPre15]-fikelel[VRoot]-is[CausExt]-a[VerbTerm]
kwinkcazelo	ku[LocPre]-i[NPrePre9]-n[BPre9]-kcazelo[NStem]
ye-website	ya[PossConc9]-i[NPrePre9]-website[Foreign]
linika	li[SC5]-nik[VRoot]-a[VerbTerm]
udweliso	u[NPrePre11]-lu[BPre11]-dweliso[NStem]
lwezona	lwa[PossConc11]-e[EmphAbsPre]-zo[AbsPron10]-na[PronSuf]
nkonzo	n[BPre9]-konzo[NStem]
kufikelelwa	ku[SCIndef]-fikelel[VRoot]-w[PassExt]-a[VerbTerm]
kuzo	ku[LocPre]-zo[PronStem10]
kakhulu	ka[AdvPre]-khulu[AdjStem]
.	.[Punc]
<LINE 29>
Ezi	ezi[Dem10][Pos1]
ngeniso	ngeniso[NStem]
zifikelelisa	zi[SC10]-fikelel[VRoot]-is[CausExt]-a[VerbTerm]
kwiinkonzo	ku[LocPre]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
ezintlanu	ezin[AdjPref10]-hlanu[AdjStem]
ezizezona	ezi[RelConc10]-z[CopPre]-e[EmphAbsPre]-zo[AbsPron10]-na[PronSuf]
zityelelwa	zi[SC10]-tyel[VRoot]-el[ApplExt]-w[PassExt]-a[VerbTerm]
kakhulu	ka[AdvPre]-khulu[AdjStem]
ngabasebenzisi	nga[AdvPre]-a[NPrePre2]-ba[BPre2]-sebenzisi[NStem]
.	.[Punc]
<LINE 30>
Olu	olu[Dem11][Pos1]
dweliso	dweliso[NStem]
luqhelaniswa	lu[SC11]-qhel[VRoot]-an[RecipExt]-is[CausExt]-w[PassExt]-a[VerbTerm]
nemeko	na[AdvPre]-i[NPrePre9]-meko[NStem]
yezibalo	ya[PossConc9]-i[NPrePre8]-zi[BPre8]-balo[NStem]
zesitatistiksi	za[PossConc8]-i[NPrePre7]-si[BPre7]-tatistiksi[NStem]
samaphepha	sa[PossConc7]-a[NPrePre6]-ma[BPre6]-phepha[NStem]
atyelelweyo	a[RelConc6]-tyelel[VRoot]-w[PassExt]-e[VerbTerm]-yo[RelSuf]
.	.[Punc]
<LINE 31>
Ibhokisi	i[NPrePre9]-bhokisi[NStem]
yokufunisa	ya[PossConc9]-u[NPrePre15]-ku[BPre15]-fun[VRoot]-is[CausExt]-a[VerbTerm]
iyafumaneka	i[SC9]-ya[Pres]-fuman[VRoot]-ek[NeutExt]-a[VerbTerm]
kuwo	ku[LocPre]-wo[PronStem6]
onke	o[QuantConc6]-nke[QuantStem]
amaphepha	a[NPrePre6]-ma[BPre6]-phepha[NStem]
kwi-website	ku[LocPre]-i[NPrePre9]-website[Foreign]
.	.[Punc]
<LINE 32>
Xa	xa[Conj]
ungenisa	u[SC1]-ngen[VRoot]-is[CausExt]-a[VerbTerm]
amagama	a[NPrePre6]-ma[BPre6]-gama[NStem]
okufunisa	oku[RelConc15]-fun[VRoot]-is[CausExt]-a[VerbTerm]
,	,[Punc]
kuyakufuniswa	ku[SCIndef]-ya[Fut]-ku[SCIndef]-fun[VRoot]-is[CausExt]-w[PassExt]-a[VerbTerm]
ngala	nga[AdvPre]-la[Dem6][Pos1]
magama	ma[BPre6]-gama[NStem]
kuyo	ku[LocPre]-yo[PronStem9]
yonke	yo[QuantConc9]-nke[QuantStem]
i-website	i[NPrePre9]-website[Foreign]
.	.[Punc]
<LINE 33>
Kwakhona	kwa[AdvPre]-khona[Adv]
,	,[Punc]
usengangenisa	u[SC1]-se[ProgPre]-nga[Pot]-ngen[VRoot]-is[CausExt]-a[VerbTerm]
ufuniso	u[NPrePre11]-lu[BPre11]-funiso[NStem]
olulolona	olu[RelConc11]-l[CopPre]-o[EmphAbsPre]-lo[AbsPron11]-na[PronSuf]
lunenkqubela-phambili	lu[CopPre]-na[CopPre]-i[NPrePre9]-n[BPre9]-kqubelaphambili[NStem]
nolukwizinga	na[AdvPre]-olu[RelConc11]-ku[LocPre]-i[NPrePre5]-li[BPre5]-zinga[NStem]
eliphezulu	eli[RelConc5]-phezulu[Adv]
ngokukhetha	nga[AdvPre]-u[NPrePre15]-ku[BPre15]-kheth[VRoot]-a[VerbTerm]
unxulumaniso	u[NPrePre11]-lu[BPre11]-nxulumaniso[NStem]
lwe-Advanced	lwa[PossConc11]-i[NPrePre9]-Advanced[Foreign]
search	search[Foreign]
.	.[Punc]
<LINE 34>
Olu	olu[Dem11][Pos1]
hlobo	hlobo[NStem]
lokufunisa	lwa[PossConc11]-u[NPrePre15]-ku[BPre15]-fun[VRoot]-is[CausExt]-a[VerbTerm]
lufunisa	lu[SC11]-fun[VRoot]-is[CausExt]-a[VerbTerm]
ngenkcazelo	nga[AdvPre]-i[NPrePre9]-n[BPre9]-kcazelo[NStem]
kwezinye	ku[LocPre]-ezi[AdjPref8]-nye[AdjStem]
ii-website	i[NPrePre10]-zi[BPre10]-website[Foreign]
zikarhulumente	zi[PossConc10]-ka[PossKA]-u[NPrePre1a]-rhulumente[NStem]
.	.[Punc]
<LINE 35>
Unxulumaniso	u[NPrePre11]-lu[BPre11]-nxulumaniso[NStem]
kwii-website	ku[LocPre]-i[NPrePre10]-zi[BPre10]-website[Foreign]
zangaphandle	za[PossConc10]-nga[AdvPre]-phandle[Adv]
luboniswa	lu[SC11]-bon[VRoot]-is[CausExt]-w[PassExt]-a[VerbTerm]
ngamagama	nga[AdvPre]-a[NPrePre6]-ma[BPre6]-gama[NStem]
athi	a[RelConc6]-th[VRoot]-i[VerbTerm]
,	,[Punc]
'	'[Punc]
outside	outside[Foreign]
link	link[Foreign]
-	-[Punc]
opens	opens[Foreign]
in	in[Foreign]
new	new[Foreign]
window	window[Foreign]
'	'[Punc]
,	,[Punc]
ayakubonakala	a[SC6]-ya[Fut]-ku[InfPre]-bon[VRoot]-akal[NeutExt]-a[VerbTerm]
kwibhokisi	ku[LocPre]-i[NPrePre9]-bhokisi[NStem]
xa	xa[Conj]
i-cursor	i[NPrePre9]-cursor[Foreign]
yakho	ya[PossConc9]-kho[PossPron2ps]
igqithiselwa	i[SC9]-gqithis[VRoot]-el[ApplExt]-w[PassExt]-a[VerbTerm]
kunxulumaniso	ku[LocPre]-u[NPrePre11]-lu[BPre11]-nxulumaniso[NStem]
.	.[Punc]
<LINE 36>
I-website	i[NPrePre9]-website[Foreign]
iyakuvula	i[SC9]-ya[Fut]-ku[InfPre]-vul[VRoot]-a[VerbTerm]
isikroba	i[NPrePre7]-si[BPre7]-kroba[NStem]
esitsha	esi[AdjPref7]-tsha[AdjStem]
sokukhangela	sa[PossConc7]-u[NPrePre15]-ku[BPre15]-khangel[VRoot]-a[VerbTerm]
.	.[Punc]
<LINE 37>
Ukulandelelana	u[NPrePre15]-ku[BPre15]-landel[VRoot]-el[ApplExt]-an[RecipExt]-a[VerbTerm]
kwezihlandlo	kwa[PossConc15]-i[NPrePre8]-zi[BPre8]-hlandlo[NStem]
zokufaka	za[PossConc8]-u[NPrePre15]-ku[BPre15]-fak[VRoot]-a[VerbTerm]
inkcazelo	i[NPrePre9]-n[BPre9]-kcazelo[NStem]
yakutshanje	ya[PossConc9]-ku[BPre15]-tsha[AdjStem]-nje[Adv]
<LINE 38>
I-website	i[NPrePre9]-website[Foreign]
imana	i[SC9]-mana[AuxVStem]
ifakwa	i[SC9]-fak[VRoot]-w[PassExt]-a[VerbTerm]
inkcazelo	i[NPrePre9]-n[BPre9]-kcazelo[NStem]
entsha	en[AdjPref9]-tsha[AdjStem]
.	.[Punc]
<LINE 39>
Umgaqo	u[NPrePre3]-m[BPre3]-gaqo[NStem]
wethu	wa[PossConc3]-ithu[PronStem1pp]
kukunika	k[SC15]-u[NPrePre15]-ku[BPre15]-nik[VRoot]-a[VerbTerm]
inkcazelo	i[NPrePre9]-n[BPre9]-kcazelo[NStem]
njengoko	njenga[AdvPre]-oko[Dem15][Pos2]
imana	i[SC9]-mana[AuxVStem]
ifumaneka	i[SC9]-fuman[VRoot]-ek[NeutExt]-a[VerbTerm]
kwaye	kwaye[Conj]
naxa	na[AdvPre]-xa[Conj]
ifumaneka	i[SC9]-fuman[VRoot]-ek[NeutExt]-a[VerbTerm]
.	.[Punc]
<LINE 40>
Nangona	nangona[Conj]
kunjalo	ku[CopPre]-njalo[Adv]
,	,[Punc]
abavelisi	a[NPrePre2]-ba[BPre2]-velisi[NStem]
be-website	ba[PossConc2]-i[NPrePre9]-website[Foreign]
yeeNkonzo	ya[PossConc9]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
zikaRhulumente	zi[PossConc10]-ka[PossKA]-u[NPrePre1a]-rhulumente[NStem]
abanakunika	a[NegExt]-ba[SC2]-na[CopPre]-ku[BPre15]-nik[VRoot]-a[VerbTerm]
isiqinisekiso	i[NPrePre7]-si[BPre7]-qinisekiso[NStem]
ngobutsha	nga[AdvPre]-u[NPrePre14]-bu[BPre14]-tsha[AdjStem]
benkcazelo	ba[PossConc14]-i[NPrePre9]-n[BPre9]-kcazelo[NStem]
epapashwa	e[RelConc9]-papash[VRoot]-w[PassExt]-a[VerbTerm]
kwezinye	ku[LocPre]-ezi[AdjPref10]-nye[AdjStem]
ii-website	i[NPrePre10]-zi[BPre10]-website[Foreign]
esinxulumana	e[RelConc9]-si[SC1pp]-nxuluman[VRoot]-a[VerbTerm]
nazo	na[AdvPre]-zo[PronStem10]
.	.[Punc]
<LINE 41>
Jonga	jong[VRoot]-a[VerbTerm]
icandelo	i[NPrePre5]-li[BPre5]-candelo[NStem]
elithi	eli[RelConc5]-th[VRoot]-i[VerbTerm]
,	,[Punc]
iiMeko	i[NPrePre10]-zi[BPre10]-meko[NStem]
neMiqathango	na[AdvPre]-i[NPrePre4]-mi[BPre4]-qathango[NStem]
,	,[Punc]
kumhlathi	ku[LocPre]-u[NPrePre3]-m[BPre3]-hlathi[NStem]
4.3	4.3[Num]
.	.[Punc]
<LINE 42>
Ubunikazi	u[NPrePre14]-bu[BPre14]-ni[NStem]-kazi[FemSuf]
benkcazelo	ba[PossConc14]-i[NPrePre9]-n[BPre9]-kcazelo[NStem]
<LINE 43>
Amasebe	a[NPrePre6]-ma[BPre6]-sebe[NStem]
karhulumente	ka[PossKA]-u[NPrePre1a]-rhulumente[NStem]
athabathela	a[SC6]-thabath[VRoot]-el[ApplExt]-a[VerbTerm]
kuwo	ku[LocPre]-wo[PronStem6]
ubunikazi	u[NPrePre14]-bu[BPre14]-ni[NStem]-kazi[FemSuf]
benkcazelo	ba[PossConc14]-i[NPrePre9]-n[BPre9]-kcazelo[NStem]
yawo	ya[PossConc9]-wo[PronStem6]
kwi-webiste	ku[LocPre]-i[NPrePre9]-website[Foreign]
.	.[Punc]
<LINE 44>
Lo	lo[Dem3][Pos1]
msebenzi	m[BPre3]-sebenzi[NStem]
wanikwa	w[SC3]-a[Past]-nik[VRoot]-w[PassExt]-a[VerbTerm]
oomanejala	oo[NPrePre2a]-manejala[NStem]
bonxulumano	ba[PossConc2]-u[NPrePre11]-lu[BPre11]-nxulumano[NStem]
,	,[Punc]
abanoxanduva	aba[RelConc2]-na[CopPre]-u[NPrePre11]-lu[BPre11]-xanduva[NStem]
lwenkcazelo	lwa[PossConc11]-i[NPrePre9]-n[BPre9]-kcazelo[NStem]
epapashwa	e[RelConc9]-papash[VRoot]-w[PassExt]-a[VerbTerm]
kwi-website	ku[LocPre]-i[NPrePre9]-website[Foreign]
.	.[Punc]
<LINE 45>
I-Government	i[NPrePre9]-Government[Foreign]
Communications	Communications[Foreign]
(	([Punc]
GCIS	GCIS[Abbr]
)	)[Punc]
inoxanduva	i[SC9]-na[CopPre]-u[NPrePre11]-lu[BPre11]-xanduva[NStem]
lokuphatha	lwa[PossConc11]-u[NPrePre15]-ku[BPre15]-phath[VRoot]-a[VerbTerm]
nokulawula	na[AdvPre]-u[NPrePre15]-ku[BPre15]-lawul[VRoot]-a[VerbTerm]
ukuhlanganiswa	u[NPrePre15]-ku[BPre15]-hlangan[VRoot]-is[CausExt]-w[PassExt]-a[VerbTerm]
kwemiba	kwa[PossConc15]-i[NPrePre4]-mi[BPre4]-ba[NStem]
equlathwe	e[RelConc4]-qulath[VRoot]-w[PassExt]-e[VerbTerm]
kwi-website	ku[LocPre]-i[NPrePre9]-website[Foreign]
.	.[Punc]
<LINE 46>
Ubume	u[NPrePre14]-bu[BPre14]-me[NStem]
bohlobo	ba[PossConc14]-u[NPrePre11]-lu[BPre11]-hlobo[NStem]
lwemiqulu	lwa[PossConc11]-i[NPrePre4]-mi[BPre4]-qulu[NStem]
<LINE 47>
Obona	o[EmphAbsPre]-bo[AbsPron14]-na[PronSuf]
bume	bu[BPre14]-me[NStem]
bohlobo	ba[PossConc14]-u[NPrePre11]-lu[BPre11]-hlobo[NStem]
lwemiqulu	lwa[PossConc11]-i[NPrePre4]-mi[BPre4]-qulu[NStem]
bufumaneka	bu[SC14]-fuman[VRoot]-ek[NeutExt]-a[VerbTerm]
kakhulu	ka[AdvPre]-khulu[AdjStem]
ngenkcazelo	nga[AdvPre]-i[NPrePre9]-n[BPre9]-kcazelo[NStem]
kwi-website	ku[LocPre]-i[NPrePre9]-website[Foreign]
yi-HTML	y[CopPre]-i[NPrePre9]-HTML[Abbr]
.	.[Punc]
<LINE 48>
Kodwa	kodwa[Conj]
ke	ke[Conj]
,	,[Punc]
iindidi	i[NPrePre10]-zin[BPre10]-didi[NStem]
ze-PDF	za[PossConc10]-i[NPrePre9]-PDF[Abbr]
zemiqulu	za[PossConc10]-i[NPrePre4]-mi[BPre4]-qulu[NStem]
(	([Punc]
umzekelo	u[NPrePre3]-m[BPre3]-zekelo[NStem]
,	,[Punc]
iMithetho	i[NPrePre4]-mi[BPre4]-thetho[NStem]
,	,[Punc]
iifom	i[NPrePre10]-zi[BPre10]-fom[NStem]
)	)[Punc]
ziyanikwa	zi[SC10]-ya[Pres]-nik[VRoot]-w[PassExt]-a[VerbTerm]
ukuze	ukuze[Conj]
kugcinwe	ku[SC15]-gcin[VRoot]-w[PassExt]-e[VerbTerm]
uqobo	u[NPrePre11]-lu[BPre11]-qobo[NStem]
loyilo	lwa[PossConc11]-u[NPrePre11]-yilo[NStem]
lwemiqulu	lwa[PossConc11]-i[NPrePre4]-mi[BPre4]-qulu[NStem]
.	.[Punc]
<LINE 49>
Ukuze	ukuze[Conj]
uvule	u[SC2ps]-vul[VRoot]-e[VerbTerm]
imiqulu	i[NPrePre4]-mi[BPre4]-qulu[NStem]
ye-PDF	ya[PossConc4]-i[NPrePre9]-PDF[Abbr]
,	,[Punc]
kufuneka	ku[SC15]-fun[VRoot]-ek[NeutExt]-a[VerbTerm]
ufakelwe	u[SC2ps]-fak[VRoot]-el[ApplExt]-w[PassExt]-e[VerbTerm]
kwikhompiyutha	ku[LocPre]-i[NPrePre9]-khompiyutha[NStem]
yakho	ya[PossConc9]-kho[PossPron2ps]
i-Adobe	i[NPrePre9]-Adobe[Foreign]
Acrobat	Acrobat[Foreign]
Reader	Reader[Foreign]
4	4[Num]
okanye	okanye[Conj]
uhlobo	u[NPrePre11]-lu[BPre11]-hlobo[NStem]
olungaphezulu	olu[RelConc11]-nga[AdvPre]-phezulu[Adv]
kwayo	kwa[PossConc15]-yo[PronStem9]
.	.[Punc]
<LINE 50>
Iya	i[NPrePre9]-ya[Fut]
kuvulela	ku[InfPre]-vul[VRoot]-el[ApplExt]-a[VerbTerm]
imiqulu	i[NPrePre4]-mi[BPre4]-qulu[NStem]
nqo	nqo[Ideoph]
kwisikhangeli	ku[LocPre]-i[NPrePre7]-si[BPre7]-khangeli[NStem]
sakho	sa[PossConc7]-kho[PossPron2ps]
.	.[Punc]
<LINE 51>
Ngamanye	nga[AdvPre]-ama[AdjPref6]-nye[AdjStem]
amaxesha	a[NPrePre6]-ma[BPre6]-xesha[NStem]
kuthabatha	ku[SCIndef]-thabath[VRoot]-a[VerbTerm]
ixesha	i[NPrePre5]-li[BPre5]-xesha[NStem]
elide	eli[AdjPref5]-de[AdjStem]
ukuvula	u[NPrePre15]-ku[BPre15]-vul[VRoot]-a[VerbTerm]
imiqulu	i[NPrePre4]-mi[BPre4]-qulu[NStem]
ye-PDF	ya[PossConc4]-i[NPrePre9]-PDF[Abbr]
.	.[Punc]
<LINE 52>
Kule	ku[LocPre]-le[Dem9][Pos1]
meko	meko[NStem]
ke	ke[Conj]
,	,[Punc]
sicebisa	si[SC1pp]-cebis[VRoot]-a[VerbTerm]
ukuba	ukuba[Conj]
uyithulele	u[SC2ps]-yi[OC4]-thul[VRoot]-el[ApplExt]-e[VerbTerm]
kwikhompiyutha	ku[LocPre]-i[NPrePre9]-khompiyutha[NStem]
yakho	ya[PossConc9]-kho[PossPron2ps]
,	,[Punc]
uze	u[SC2ps]-ze[AuxVStem]
ke	ke[Conj]
uyivulele	u[SC2ps]-yi[OC4]-vul[VRoot]-el[ApplExt]-e[VerbTerm]
kuyo	ku[LocPre]-yo[PronStem4]
.	.[Punc]
<LINE 53>
cebisa	cebis[VRoot]-a[VerbTerm]
ukuthulela	u[NPrePre15]-ku[BPre15]-thul[VRoot]-el[ApplExt]-a[VerbTerm]
imiqulu	i[NPrePre4]-mi[BPre4]-qulu[NStem]
kwikhompiyutha	ku[LocPre]-i[NPrePre9]-khompiyutha[NStem]
yakho	ya[PossConc9]-kho[PossPron2ps]
.	.[Punc]
<LINE 54>
Xa	xa[Conj]
usebenzisa	u[SC1]-sebenz[VRoot]-is[CausExt]-a[VerbTerm]
isiHloli	i[NPrePre7]-si[BPre7]-hloli[NStem]
se-internet	sa[PossConc7]-i[NPrePre7]-internet[Foreign]
(	([Punc]
Internet	Internet[Foreign]
Explorer	Explorer[Foreign]
)	)[Punc]
njengesikhangeli	njenga[AdvPre]-i[NPrePre7]-si[BPre7]-khangeli[NStem]
sakho	sa[PossConc7]-kho[PossPron2ps]
:	:[Punc]
<LINE 55>
Ngokusebenzisa	nga[AdvPre]-u[NPrePre15]-ku[BPre15]-sebenz[VRoot]-is[CausExt]-a[VerbTerm]
i-mouse	i[NPrePre9]-mouse[Foreign]
yakho	ya[PossConc9]-kho[PossPron2ps]
,	,[Punc]
cofa	cof[VRoot]-a[VerbTerm]
ngasekunene	nga[AdvPre]-s[PreLoc-s]-e[LocPre]-ku[LocPre]-i[NPrePre5]-li[BPre5]-nene[NStem]
kumqulu	ku[LocPre]-u[NPrePre3]-m[BPre3]-qulu[NStem]
ofuna	o[RelConc3]-fun[VRoot]-a[VerbTerm]
ukuwuthula	u[NPrePre15]-ku[BPre15]-wu[OC3]-thul[VRoot]-a[VerbTerm]
.	.[Punc]
<LINE 56>
Kwiintlobo-ntlobo	ku[LocPre]-i[NPrePre10]-zin[BPre10]-tlobo[NStem]-n[BPre9]-tlobo[NStem]
zezihloko	za[PossConc10]-i[NPrePre8]-zi[BPre8]-hloko[NStem]
ezidweliswe	ezi[RelConc10]-dwel[VRoot]-is[CausExt]-w[PassExt]-e[VerbTerm]
ngokuhlayo	nga[AdvPre]-oku[RelConc15]-hl[VRoot]-a[VerbTerm]-yo[RelSuf]
,	,[Punc]
khetha	kheth[VRoot]-a[VerbTerm]
iqhosha	i[NPrePre5]-li[BPre5]-qhosha[NStem]
elithi	eli[RelConc5]-th[VRoot]-i[VerbTerm]
:	:[Punc]
'	'[Punc]
Save	Save[Foreign]
target	target[Foreign]
as	as[Foreign]
'	'[Punc]
.	.[Punc]
<LINE 57>
Kwibhokisi	ku[LocPre]-i[NPrePre9]-bhokisi[NStem]
ethi	e[RelConc9]-th[VRoot]-i[VerbTerm]
'	'[Punc]
Save	Save[Foreign]
as	as[Foreign]
'	'[Punc]
,	,[Punc]
khetha	kheth[VRoot]-a[VerbTerm]
indawo	i[NPrePre9]-n[BPre9]-dawo[NStem]
ofuna	o[RelConc1]-fun[VRoot]-a[VerbTerm]
ukugcina	u[NPrePre15]-ku[BPre15]-gcin[VRoot]-a[VerbTerm]
kuyo	ku[LocPre]-yo[PronStem9]
lo	lo[Dem3][Pos1]
mqulu	m[BPre3]-qulu[NStem]
kwidiski	ku[LocPre]-i[NPrePre9]-diski[NStem]
yakho	ya[PossConc9]-kho[PossPron2ps]
yokugcina	ya[PossConc9]-u[NPrePre15]-ku[BPre15]-gcin[VRoot]-a[VerbTerm]
inkcazelo	i[NPrePre9]-n[BPre9]-kcazelo[NStem]
kwaye	kwaye[Conj]
ucofe	u[SC2ps]-cof[VRoot]-e[VerbTerm]
iqhosha	i[NPrePre5]-li[BPre5]-qhosha[NStem]
elithi	eli[RelConc5]-th[VRoot]-i[VerbTerm]
'	'[Punc]
Save	Save[Foreign]
'	'[Punc]
.	.[Punc]
<LINE 58>
Ifayili	i[NPrePre9]-fayili[NStem]
iyakuthulelwa	i[SC9]-ya[Fut]-ku[InfPre]-thul[VRoot]-el[ApplExt]-w[PassExt]-a[VerbTerm]
kwindawo	ku[LocPre]-i[NPrePre9]-n[BPre9]-dawo[NStem]
oyichazileyo	o[RelConc1]-yi[OC9]-chaz[VRoot]-ile[Perf]-yo[RelSuf]
.	.[Punc]
<LINE 59>
Vula	Vul[VRoot]-a[VerbTerm]
isikroba	i[NPrePre7]-si[BPre7]-kroba[NStem]
se-Acrobat	sa[PossConc7]-i[NPrePre9]-Acrobat[Foreign]
Reader	Reader[Foreign]
yakho	ya[PossConc9]-kho[PossPron2ps]
,	,[Punc]
uze	u[SC2ps]-ze[AuxVStem]
ke	ke[Conj]
uvule	u[SC2ps]-vul[VRoot]-e[VerbTerm]
imiqulu	i[NPrePre4]-mi[BPre4]-qulu[NStem]
oyithobileyo	o[RelConc1]-yi[OC4]-thob[VRoot]-ile[Perf]-yo[RelSuf]
.	.[Punc]
<LINE 60>
Xa	xa[Conj]
usebenzisa	u[SC2ps]-sebenz[VRoot]-is[CausExt]-a[VerbTerm]
i-Netscape	i[NPrePre9]-netscape[Foreign]
njengesikhangeli	njenga[AdvPre]-i[NPrePre7]-si[BPre7]-khangeli[NStem]
sakho	sa[PossConc7]-kho[PossPron2ps]
:	:[Punc]
<LINE 61>
Ngokusebenzisa	nga[AdvPre]-u[NPrePre15]-ku[BPre15]-sebenz[VRoot]-is[CausExt]-a[VerbTerm]
i-mouse	i[NPrePre9]-mouse[Foreign]
yakho	ya[PossConc9]-kho[PossPron2ps]
,	,[Punc]
yithi	yi[ImpPre]-th[VRoot]-i[VerbTerm]
cebu	cebu[Ideoph]
kwaye	kwaye[Conj]
ucofe	u[SC2ps]-cof[VRoot]-e[VerbTerm]
(	([Punc]
kwicala	ku[LocPre]-i[NPrePre5]-li[BPre5]-cala[NStem]
lokucofa	la[PossConc5]-u[NPrePre15]-ku[BPre15]-cof[VRoot]-a[VerbTerm]
elingasekhohlo	eli[RelConc5]-nga[AdvPre]-s[PreLoc-s]-e[LocPre]-i[NPrePre5]-li[BPre5]-khohlo[NStem]
le-mouse	la[PossConc5]-i[NPrePre9]-mouse[Foreign]
)	)[Punc]
kwisinxulumanisi	ku[LocPre]-i[NPrePre7]-si[BPre7]-nxulumanisi[NStem]
somqulu	sa[PossConc7]-u[NPrePre3]-m[BPre3]-qulu[NStem]
ofuna	o[RelConc1]-fun[VRoot]-a[VerbTerm]
ukuwugcina	u[NPrePre15]-ku[BPre15]-wu[OC3]-gcin[VRoot]-a[VerbTerm]
.	.[Punc]
<LINE 62>
Kwibhokisi	ku[LocPre]-i[NPrePre9]-bhokisi[NStem]
ethi	e[RelConc9]-th[VRoot]-i[VerbTerm]
'	'[Punc]
Save	Save[Foreign]
As	As[Foreign]
'	'[Punc]
,	,[Punc]
khetha	kheth[VRoot]-a[VerbTerm]
indawo	i[NPrePre9]-n[BPre9]-dawo[NStem]
ofuna	o[RelConc1]-fun[VRoot]-a[VerbTerm]
ukugcina	u[NPrePre15]-ku[BPre15]-gcin[VRoot]-a[VerbTerm]
kuyo	ku[LocPre]-yo[PronStem9]
lo	lo[Dem3][Pos1]
mqulu	m[BPre3]-qulu[NStem]
kwidiski	ku[LocPre]-i[NPrePre9]-diski[NStem]
yakho	ya[PossConc9]-kho[PossPron2ps]
yokugcina	ya[PossConc9]-u[NPrePre15]-ku[BPre15]-gcin[VRoot]-a[VerbTerm]
inkcazelo	i[NPrePre9]-n[BPre9]-kcazelo[NStem]
kwaye	kwaye[Conj]
ucofe	u[SC2ps]-cof[VRoot]-e[VerbTerm]
iqhosha	i[NPrePre5]-li[BPre5]-qhosha[NStem]
elithi	eli[RelConc5]-th[VRoot]-i[VerbTerm]
'	'[Punc]
Save	Save[Foreign]
'	'[Punc]
.	.[Punc]
<LINE 63>
Ifayili	i[NPrePre9]-fayili[NStem]
iyakuthulelwa	i[SC9]-ya[Fut]-ku[InfPre]-thul[VRoot]-el[ApplExt]-w[PassExt]-a[VerbTerm]
kwindawo	ku[LocPre]-i[NPrePre9]-n[BPre9]-dawo[NStem]
oyichazileyo	o[RelConc1]-yi[OC9]-chaz[VRoot]-ile[Perf]-yo[RelSuf]
.	.[Punc]
<LINE 64>
Vula	vul[VRoot]-a[VerbTerm]
isikroba	i[NPrePre7]-si[BPre7]-kroba[NStem]
se-	sa[PossConc7]-i[NPrePre9]
Acrobat	Acrobat[Foreign]
Reader	Reader[Foreign]
yakho	ya[PossConc9]-kho[PossPron2ps]
,	,[Punc]
uze	u[SC2ps]-ze[AuxVStem]
uvule	u[SC2ps]-vul[VRoot]-e[VerbTerm]
imiqulu	i[NPrePre4]-mi[BPre4]-qulu[NStem]
oyithobileyo	o[RelConc1]-yi[OC4]-thob[VRoot]-ile[Perf]-yo[RelSuf]
.	.[Punc]
<LINE 65>
Ingaba	i[SC9]-ngaba[Interrog]
udinga	u[SC2ps]-ding[VRoot]-a[VerbTerm]
uncedo	u[NPrePre11]-lu[BPre11]-ncedo[NStem]
ngeengxaki	nga[AdvPre]-i[NPrePre10]-zin[BPre10]-gxaki[NStem]
ohlangene	o[RelConc1]-hlangan[VRoot]-e[VerbTerm]
nazo	na[AdvPre]-zo[PronStem10]
kwi-website	ku[LocPre]-i[NPrePre9]-website[Foreign]
?	?[Punc]
<LINE 66>
Nceda	nced[VRoot]-a[VerbTerm]
unxulumane	u[SC2ps]-nxuluman[VRoot]-e[VerbTerm]
nathi	na[AdvPre]-thi[AbsPron1pp]
(	([Punc]
electronic@gcis.gov.za	electronic@gcis.gov.za[Foreign]
)	)[Punc]
ukuba	ukuba[Conj]
ngaba	ngaba[Interrog]
udibana	u[SC2ps]-diban[VRoot]-a[VerbTerm]
neengxaki	na[AdvPre]-i[NPrePre10]-zin[BPre10]-gxaki[NStem]
nge-website	nga[AdvPre]-i[NPrePre9]-website[Foreign]
.	.[Punc]
<LINE 67>
Ukubangaba	ukuba[Conj]-ngaba[Interrog]
iqumrhu	i[NPrePre5]-li[BPre5]-qumrhu[NStem]
,	,[Punc]
inkampani	i[NPrePre9]-n[BPre9]-kampani[NStem]
okanye	okanye[Conj]
iqumrhu	i[NPrePre5]-li[BPre5]-qumrhu[NStem]
elingavulelekanga	eli[RelConc5]-nga[NegExt]-vul[VRoot]-el[ApplExt]-ek[NeutExt]-a[VerbTerm]-nga[NegExt]
alinako	a[NegExt]-li[SC5]-na[CopPre]-ko[PronStem15]
okanye	okanye[Conj]
aliyi	a[NegExt]-li[SC5]-yi[Fut]
kuwahlawula	ku[InfPre]-wa[OC6]-hlawul[VRoot]-a[VerbTerm]
amatyala	a[NPrePre6]-ma[BPre6]-tyala[NStem]
alo	a[PossConc6]-lo[PronStem5]
okanye	okanye[Conj]
lifezekise	li[SC5]-fez[VRoot]-ek[NeutExt]-is[CausExt]-e[VerbTerm]
uxanduva	u[NPrePre11]-lu[BPre11]-xanduva[NStem]
lwalo	lwa[PossConc11]-lo[PronStem6]
(	([Punc]
